Hypo-pseudohyphal growth (score <=-7)
YLL061W
YLR014C
YLR031W
YLR034C
YLR037C
YLR040C
YLR044C
YLR048W
YLR052W
YLR055C
YLR084C
YLR085C
YLR092W
YLR109W
YLR110C
YLR146C
YLR154C
YLR185W
YLR190W
YLR192C
YLR227C
YLR241W
YLR267W
YLR271W
YLR308W
YLR319C
YLR325C
YLR327C
YLR330W
YLR335W
YLR353W
YLR361C
YLR362W
YLR384C
YLR385C
YLR389C
YLR395C
YLR420W
YLR422W
YLR447C
YML005W
YML008C
YML016C
YML024W
YML027W
YML047C
YML055W
YML094W
YML095C
YML104C
YML121W
YMR015C
YMR062C
YMR063W
YMR065W
YMR084W
YMR135C
YMR143W
YMR145C
YMR154C
YMR164C
YMR189W
YMR214W
YMR230W
YMR238W
YMR276W
YMR312W
YMR319C
YNL003C
YNL079C
YNL085W
YNL090W
YNL097C
YNL098C
YNL099C
YNL111C
YNL119W
YNL142W
YNL154C
YNL162W
YNL180C
YNL183C
YNL192W
YNL253W
YNL271C
YNL273W
YNL277W
YNL283C
YNL289W
YNL293W
YNL294C
YNL297C
YNL302C
YNL322C
YNL323W
YNL330C
YNR022C
YNR029C
YNR039C
YNR051C
YNR057C
YNR067C
YOL004W
YOL018C
YOL020W
YOL024W
YOL045W
YOL052C
YOL054W
YOL059W
YOL061W
YOL062C
YOL065C
YOL067C
YOL072W
YOL086C
YOL087C
YOL095C
YOL109W
YOL116W
YOL132W
YOL140W
YOL164W
YOR008C
YOR008C-A
YOR022C
YOR027W
YOR030W
YOR049C
YOR058C
YOR064C
YOR067C
YOR068C
YOR073W
YOR085W
YOR096W
YOR115C
YOR118W
YOR120W
YOR132W
YOR147W
YOR161C
YOR183W
YOR186W
YOR193W
YOR198C
YOR209C
YOR221C
YOR225W
YOR243C
YOR247W
YOR275C
YOR291W
YOR299W
YOR300W
YOR301W
YOR307C
YOR311C
YOR312C
YOR315W
YOR316C
YOR332W
YOR342C
YOR347C
YOR354C
YOR357C
YPL001W
YPL004C
YPL015C
YPL026C
YPL037C
YPL046C
YPL055C
YPL056C
YPL057C
YPL061W
YPL072W
YPL086C
YPL090C
YPL098C
YPL101W
YPL104W
YPL108W
YPL112C
YPL139C
YPL154C
YPL181W
YPL184C
YPL203W
YPL227C
YPL232W
YPL236C
YPL248C
YPL250C
YPL260W
YPR018W
YPR023C
YPR054W
YPR060C
YPR069C
YPR075C
YPR133W-A
YPR138C
YPR148C
YPR156C
YPR171W
YPR185W
